ID,创建时间,用户名称,权限等级,操作内容,旧值,新值,详情(注释)
1,2025-01-14 17:23:06,Lee,Super,rm -r,FALSE,TRUE,Delect all, system error creak
2,2025-01-14 17:25:19,Lee,Super,rm -r,FALSE,TRUE,Delect all, system error creak
3,2025-01-15 10:39:05,超级管理员,--,--,开,关,--
4,2025-01-15 10:54:38,超级管理员,--,TC泵正转,开,关,--
5,2025-01-15 10:54:44,超级管理员,--,TC泵反转,开,关,--
6,2025-01-15 10:55:33,超级管理员,--,TC泵反转,关,开,--
7,2025-01-15 10:55:34,超级管理员,--,TC泵正转,关,开,--
8,2025-01-15 10:55:38,超级管理员,--,--,开,关,--
9,2025-01-15 10:56:25,超级管理员,--,--,开,关,--
10,2025-01-15 11:07:49,超级管理员,--,去离子水泵转,开,关,--
11,2025-01-15 11:13:12,超级管理员,--,去离子水泵转,关,开,--
12,2025-01-15 11:37:58,超级管理员,--,TC泵正转,开,关,--
13,2025-01-15 11:38:08,超级管理员,--,TC泵正转,开,关,--
14,2025-01-15 11:39:02,管理员,--,TC泵反转,开,关,--
15,2025-01-15 11:42:34,管理员,--,TC泵反转,开,关,--
16,2025-01-15 13:39:34,超级管理员,--,测量参数-修正-负值修正 更改 ,开,关,--
17,2025-01-15 13:40:29,超级管理员,--,测量参数-修正-斜率修正 更改 ,0.900000 ,1.000000 ,--
18,2025-01-15 13:41:59,超级管理员,--,测量参数-调试参数-反应时间 更改 ,25.000000 ,90.000000 ,--
19,2025-01-15 13:43:27,超级管理员,--,测量参数-调试参数-反应时间 更改 ,66.000000 ,25.000000 ,--
20,2025-01-15 13:46:23,超级管理员,--,测量排期-水样测量-间隔周期 更改 ,2.000000 ,4.000000 ,--
21,2025-01-15 13:46:51,超级管理员,--,测量排期-水样测量-间隔周期 更改 ,4.000000 ,5.000000 ,--
22,2025-01-15 13:47:19,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,120 ,60 ,--
23,2025-01-15 13:47:29,超级管理员,--,测量参数-修正-负值修正 更改 ,开,关,--
24,2025-01-15 13:47:40,超级管理员,--,外联接口-TOC超标设置-报警 更改 ,关,开,--
25,2025-01-15 13:48:05,超级管理员,--,系统参数-打印机-模式 更改 ,串口,网口,--
26,2025-01-15 13:48:28,超级管理员,--,系统参数-打印机-模式 更改 ,网口,串口,--
27,2025-01-15 13:48:46,超级管理员,--,测量参数-药典测试-药典设置 更改 ,,1,--
28,2025-01-15 13:48:58,超级管理员,--,测量参数-药典测试-药典设置 更改 ,1,1,2,--
29,2025-01-15 13:49:28,超级管理员,--,TC泵正转,关,开,--
30,2025-01-15 13:49:44,超级管理员,--,TC泵正转,关,开,--
31,2025-01-15 14:05:12,超级管理员,--,测量参数-药典测试-药典设置 更改 ,1,2,0,--
32,2025-01-15 14:05:30,超级管理员,--,测量参数-药典测试-药典设置 更改 ,0,0,1,--
33,2025-01-15 14:08:00,超级管理员,--,测量排期-水样测量-整点设置 更改 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,2,4,6,8,10,12,14,16,18,20,22,--
34,2025-01-15 14:08:24,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,,USP无菌水,,--
35,2025-01-15 14:08:38,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP无菌水,,EP,,--
36,2025-01-15 14:21:22,超级管理员,--,测量参数-当前量程信息-斜率 更改 ,1.000000 ,0.000000 ,--
37,2025-01-15 14:21:22,超级管理员,--,测量参数-修正-负值修正 更改 ,关,开,--
38,2025-01-15 14:21:22,超级管理员,--,测量参数-修正-斜率修正 更改 ,0.900000 ,1.000000 ,--
39,2025-01-15 14:21:23,超级管理员,--,测量参数-药典测试-药典设置 更改 ,EP,,,--
40,2025-01-15 14:21:23,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,开,关,--
41,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,开,关,--
42,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-TOC测量 更改 ,关,开,--
43,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-电导率测量 更改 ,开,关,--
44,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-酸剂 更改 ,2.000000 ,1.000000 ,--
45,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-氧化剂 更改 ,2.000000 ,1.000000 ,--
46,2025-01-15 14:21:23,超级管理员,--,测量参数-调试参数-慢速冲洗时间 更改 ,80 ,90 ,--
47,2025-01-15 14:21:24,超级管理员,--,测量参数-调试参数-反应时间 更改 ,66.000000 ,90.000000 ,--
48,2025-01-15 14:21:46,超级管理员,--,测量参数-药典测试-药典设置 更改 ,,KP,,--
49,2025-01-15 14:27:19,超级管理员,--,测量参数-药典测试-药典设置 更改 ,KP,,KP,,--
50,2025-01-15 14:31:08,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP无菌水,JP,KP,,USP,USP无菌水,JP,,--
51,2025-01-15 14:31:44,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,JP,,ChP,IP,,--
52,2025-01-15 15:26:55,超级管理员,--,开始测量水样,--,--,--
53,2025-01-15 15:26:55,超级管理员,--,测量水样完成,--,--,--
54,2025-01-15 16:15:51,超级管理员,--,开始测量水样,--,--,--
55,2025-01-15 16:15:56,超级管理员,--,测量水样-故障终止,--,--,--
56,2025-01-15 16:17:31,超级管理员,--,开始测量水样,--,--,--
57,2025-01-15 16:17:31,超级管理员,--,测量水样完成,--,--,--
58,2025-01-15 16:36:42,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,60 ,50 ,--
59,2025-01-15 16:37:08,超级管理员,--,测量排期-整点启动-判定延长时间 更改 ,50 ,88 ,--
60,2025-01-15 16:37:24,超级管理员,--,测量参数-药典测试-药典设置 更改 ,ChP,IP,,USP,USP无菌水,,--
61,2025-01-15 16:38:13,超级管理员,--,TC泵反转,关,开,--
62,2025-01-15 17:54:33,超级管理员,--,测量参数-药典测试-药典设置 更改 ,USP,USP无菌水,,USP,USP无菌水,,--
63,2025-01-15 17:54:34,超级管理员,--,测量参数-Turbo设置-Turbo模式 更改 ,关,开,--
64,2025-01-15 17:54:34,超级管理员,--,测量参数-调试参数-ICR模式 更改 ,关,开,--
