ID,方法名称,创建时间,测量类型,Turbo模式,ICR模式,TOC模式,电导率(NaCl),自动加试剂,酸剂(uL/分),氧化剂(uL/分),冲洗时间(秒),测量次数(离线),舍弃次数(离线)
9,Lew,2025-01-16 14:58:20,离线,是,是,否,否,否,2,2,80,4,1
10,Fxxk,2025-01-16 15:51:46,离线,是,否,否,是,是,2,2,50,4,1
11,Lee07,2025-01-17 11:55:28,在线,是,否,否,否,是,0.10000000000000001,2,80,4,1
14,Lee03,2025-01-17 13:39:49,在线,是,是,否,是,是,2,2,80,4,1
15,Lee78,2025-01-17 13:45:48,在线,是,是,否,否,否,2,2,80,4,1
31,78,2025-01-17 14:37:10,在线,是,是,否,是,是,2,2,80,4,1
32,79,2025-01-17 14:37:14,在线,是,是,否,是,是,2,2,80,4,1
47,默认,2025-02-05 10:43:13,离线,是,否,否,是,否,1,1,1,4,1
48,79,2025-03-12 17:20:25,离线,是,否,否,是,否,1,1,1,4,1
49,默认,2025-03-20 16:11:53,离线,是,否,否,是,否,1,1,1,4,1
50,79,2025-03-20 16:12:13,离线,是,否,否,是,否,1,1,1,4,1
